70,0-70,12,0.098
71,71,3,0.122
72,72,3,0.146
73,73,2,0.163
74,74,0,0.163
75,75,4,0.195
76,76,4,0.228
77,77,5,0.268
78,78,2,0.285
79,79,7,0.341
80,80,4,0.374
81,81,10,0.455
82,82,13,0.561
83,83,12,0.659
84,84,4,0.691
85,85,9,0.764
86,86,10,0.846
87,>86,19,1
